chamber,date,time,ventilation,heating_value
3,2023-08-08,00:00:00,1.65,687.86
3,2023-08-08,01:00:00,1.65,687.86
3,2023-08-08,02:00:00,1.65,687.86
3,2023-08-08,03:00:00,1.65,687.86
3,2023-08-08,04:00:00,1.65,687.86
3,2023-08-08,05:00:00,1.65,687.86
3,2023-08-08,06:00:00,1.65,687.86
3,2023-08-08,07:00:00,1.65,687.86
3,2023-08-08,08:00:00,1.65,687.86
3,2023-08-08,09:00:00,1.65,687.86
3,2023-08-08,10:00:00,1.65,687.86
3,2023-08-08,11:00:00,1.65,687.86
3,2023-08-08,12:00:00,1.65,687.86
3,2023-08-08,13:00:00,1.65,687.86
3,2023-08-08,14:00:00,1.65,687.86
3,2023-08-08,15:00:00,1.65,687.86
3,2023-08-08,16:00:00,1.65,687.86
3,2023-08-08,17:00:00,1.65,687.86
3,2023-08-08,18:00:00,1.65,687.86
3,2023-08-08,19:00:00,1.65,687.86
3,2023-08-08,20:00:00,1.65,687.86
3,2023-08-08,21:00:00,1.65,687.86
3,2023-08-08,22:00:00,1.65,687.86
3,2023-08-08,23:00:00,1.65,687.86
3,2023-08-10,00:00:00,2.04,752.53
3,2023-08-10,01:00:00,2.04,752.53
3,2023-08-10,02:00:00,2.04,752.53
3,2023-08-10,03:00:00,2.04,752.53
3,2023-08-10,04:00:00,2.04,752.53
3,2023-08-10,05:00:00,2.04,752.53
3,2023-08-10,06:00:00,2.04,752.53
3,2023-08-10,07:00:00,2.04,752.53
3,2023-08-10,08:00:00,2.04,752.53
3,2023-08-10,09:00:00,2.04,752.53
3,2023-08-10,10:00:00,2.04,752.53
3,2023-08-10,11:00:00,2.04,752.53
3,2023-08-10,12:00:00,2.04,752.53
3,2023-08-10,13:00:00,2.04,752.53
3,2023-08-10,14:00:00,2.04,752.53
3,2023-08-10,15:00:00,2.04,752.53
3,2023-08-10,16:00:00,2.04,752.53
3,2023-08-10,17:00:00,2.04,752.53
3,2023-08-10,18:00:00,2.04,752.53
3,2023-08-10,19:00:00,2.04,752.53
3,2023-08-10,20:00:00,2.04,752.53
3,2023-08-10,21:00:00,2.04,752.53
3,2023-08-10,22:00:00,2.04,752.53
3,2023-08-10,23:00:00,2.04,752.53
3,2023-08-12,00:00:00,1.41,720.55
3,2023-08-12,01:00:00,1.41,720.55
3,2023-08-12,02:00:00,1.41,720.55
3,2023-08-12,03:00:00,1.41,720.55
3,2023-08-12,04:00:00,1.41,720.55
3,2023-08-12,05:00:00,1.41,720.55
3,2023-08-12,06:00:00,1.41,720.55
3,2023-08-12,07:00:00,1.41,720.55
3,2023-08-12,08:00:00,1.41,720.55
3,2023-08-12,09:00:00,1.41,720.55
3,2023-08-12,10:00:00,1.41,720.55
3,2023-08-12,11:00:00,1.41,720.55
3,2023-08-12,12:00:00,1.41,720.55
3,2023-08-12,13:00:00,1.41,720.55
3,2023-08-12,14:00:00,1.41,720.55
3,2023-08-12,15:00:00,1.41,720.55
3,2023-08-12,16:00:00,1.41,720.55
3,2023-08-12,17:00:00,1.41,720.55
3,2023-08-12,18:00:00,1.41,720.55
3,2023-08-12,19:00:00,1.41,720.55
3,2023-08-12,20:00:00,1.41,720.55
3,2023-08-12,21:00:00,1.41,720.55
3,2023-08-12,22:00:00,1.41,720.55
3,2023-08-12,23:00:00,1.41,720.55
3,2023-08-16,00:00:00,2.49,773.79
3,2023-08-16,01:00:00,2.49,773.79
3,2023-08-16,02:00:00,2.49,773.79
3,2023-08-16,03:00:00,2.49,773.79
3,2023-08-16,04:00:00,2.49,773.79
3,2023-08-16,05:00:00,2.49,773.79
3,2023-08-16,06:00:00,2.49,773.79
3,2023-08-16,07:00:00,2.49,773.79
3,2023-08-16,08:00:00,2.49,773.79
3,2023-08-16,09:00:00,2.49,773.79
3,2023-08-16,10:00:00,2.49,773.79
3,2023-08-16,11:00:00,2.49,773.79
3,2023-08-16,12:00:00,2.49,773.79
3,2023-08-16,13:00:00,2.49,773.79
3,2023-08-16,14:00:00,2.49,773.79
3,2023-08-16,15:00:00,2.49,773.79
3,2023-08-16,16:00:00,2.49,773.79
3,2023-08-16,17:00:00,2.49,773.79
3,2023-08-16,18:00:00,2.49,773.79
3,2023-08-16,19:00:00,2.49,773.79
3,2023-08-16,20:00:00,2.49,773.79
3,2023-08-16,21:00:00,2.49,773.79
3,2023-08-16,22:00:00,2.49,773.79
3,2023-08-16,23:00:00,2.49,773.79
3,2023-08-18,00:00:00,1.86,778.84
3,2023-08-18,01:00:00,1.86,778.84
3,2023-08-18,02:00:00,1.86,778.84
3,2023-08-18,03:00:00,1.86,778.84
3,2023-08-18,04:00:00,1.86,778.84
3,2023-08-18,05:00:00,1.86,778.84
3,2023-08-18,06:00:00,1.86,778.84
3,2023-08-18,07:00:00,1.86,778.84
3,2023-08-18,08:00:00,1.86,778.84
3,2023-08-18,09:00:00,1.86,778.84
3,2023-08-18,10:00:00,1.86,778.84
3,2023-08-18,11:00:00,1.86,778.84
3,2023-08-18,12:00:00,1.86,778.84
3,2023-08-18,13:00:00,1.86,778.84
3,2023-08-18,14:00:00,1.86,778.84
3,2023-08-18,15:00:00,1.86,778.84
3,2023-08-18,16:00:00,1.86,778.84
3,2023-08-18,17:00:00,1.86,778.84
3,2023-08-18,18:00:00,1.86,778.84
3,2023-08-18,19:00:00,1.86,778.84
3,2023-08-18,20:00:00,1.86,778.84
3,2023-08-18,21:00:00,1.86,778.84
3,2023-08-18,22:00:00,1.86,778.84
3,2023-08-18,23:00:00,1.86,778.84
3,2023-08-19,00:00:00,1.88,839.86
3,2023-08-19,01:00:00,1.88,839.86
