chamber,date,time,evaporation,T_0.5,RH_0.5,CO2_0.5,NH3_0.5,T_1.5,RH_1.5,CO2_1.5,NH3_1.5
3,2023-08-08,00:00:00,58.13,26.52,28.8,925.58,12.22,24.95,22.36,916.97,5.68
3,2023-08-08,00:05:00,60.69,26.86,28.99,941.95,12.32,24.98,23.21,929.24,5.75
3,2023-08-08,00:10:00,59.34,26.9,28.34,960.09,12.42,25.07,24.24,938.21,6.02
3,2023-08-08,00:15:00,57.25,26.65,28.17,971.37,12.45,25.13,24.3,953.99,5.87
3,2023-08-08,00:20:00,55.89,25.86,27.13,975.8,12.22,25.15,25.08,972.92,5.7
3,2023-08-08,00:25:00,53.47,26.86,26.5,980.99,12.04,25.16,25.74,979.72,5.35
3,2023-08-08,00:30:00,52.43,26.9,25.42,986.63,11.7,25.22,26.99,994.69,5.01
3,2023-08-08,00:35:00,52.91,26.52,24.62,1004.51,11.4,25.28,27.39,1008.95,4.96
3,2023-08-08,00:40:00,55.14,25.39,24.43,1008.77,11.03,25.28,28.59,1014.2,4.5
3,2023-08-08,00:45:00,55.18,25,23.43,1009.29,10.91,25.36,29.37,1034.22,5.17
3,2023-08-08,00:50:00,58.74,24.4,24.17,1019.79,10.94,25.33,29.66,1044.67,5.72
3,2023-08-08,00:55:00,62.23,25.58,24.21,1025.74,11.33,25.33,29.9,1034.78,5.78
3,2023-08-08,01:00:00,65.08,25.76,24.12,1012.32,11.68,25.24,28.85,1021.8,5.85
3,2023-08-08,01:05:00,66.81,26.88,23.3,1000.67,12.01,25.2,27.67,1015.41,6.14
3,2023-08-08,01:10:00,67.36,26.9,22.19,994.56,12.43,25.11,26.43,1000.6,5.72
3,2023-08-08,01:15:00,70.87,26.84,22.1,987.56,12.45,25.09,25.65,1000.23,5.12
3,2023-08-08,01:20:00,73.41,26.25,22.46,982.92,12.02,25.06,24.62,996.47,4.89
3,2023-08-08,01:25:00,75.3,25.65,23.26,966.18,11.94,24.98,24.61,981.48,4.68
3,2023-08-08,01:30:00,76.28,24.53,23.51,947.45,11.84,24.97,25.74,973.92,4.63
3,2023-08-08,01:35:00,78.34,24.4,23.99,940.4,11.78,24.92,26.85,971.63,4.21
3,2023-08-08,01:40:00,78.7,24.85,24.17,924.72,11.71,24.85,28.02,958.53,4.27
3,2023-08-08,01:45:00,81.69,25.84,24.77,912.61,11.26,24.77,28.64,953.91,4.58
3,2023-08-08,01:50:00,84.13,26.43,24.24,904.7,10.95,24.83,29.75,945.53,4.59
3,2023-08-08,01:55:00,84.9,26.9,23.88,895.54,10.5,24.75,29.9,941.06,4.52
3,2023-08-08,02:00:00,87.01,26.31,23.47,881.48,10.34,24.81,29.8,938.86,4.84
3,2023-08-08,02:05:00,88.27,25.88,22.92,862.47,10.12,24.81,29.48,928.3,5.33
3,2023-08-08,02:10:00,90.45,25.65,22.49,856.95,10.25,24.86,28.64,915.15,5.58
3,2023-08-08,02:15:00,90.91,24.89,22.19,848.34,10.38,24.9,27.94,903.35,5.68
3,2023-08-08,02:20:00,92.23,24.4,22.1,843,10.76,24.98,27.4,889.19,5.9
3,2023-08-08,02:25:00,94.49,25.03,22.49,837.74,11.12,25.08,26.58,875.48,5.43
3,2023-08-08,02:30:00,98.02,25.74,22.66,824.11,11.22,25.13,25.98,873.06,4.83
3,2023-08-08,02:35:00,100.2,24.91,23.63,806.81,11.47,25.21,24.6,892.57,4.37
3,2023-08-08,02:40:00,102.15,26.12,24.27,791.98,11.58,25.26,23.25,906.44,4.21
3,2023-08-08,02:45:00,102.75,26.01,23.89,783.79,12.04,25.36,22.07,920.03,4.61
3,2023-08-08,02:50:00,103,25.92,23.4,780.79,12.12,25.35,20.74,927.11,4.68
3,2023-08-08,02:55:00,99.86,25.2,23.3,771.18,12.15,25.32,20.29,940.78,5.02
3,2023-08-08,03:00:00,96.57,24.87,22.47,790.79,12.32,25.31,18.97,940.88,4.67
3,2023-08-08,03:05:00,93.52,24.4,22.1,798.05,12.44,25.37,18.45,944.97,4.53
3,2023-08-08,03:10:00,96.69,24.87,23.08,798.46,12.45,25.43,18.2,952.68,4.38
3,2023-08-08,03:15:00,99.98,25.89,23.9,813.86,12.26,25.39,17.85,962.35,4.21
3,2023-08-08,03:20:00,102.8,26.9,24.69,831.87,11.78,25.34,16.76,980.44,4.21
3,2023-08-08,03:25:00,104.37,26.59,25.66,848.17,11.43,25.31,15.97,993.95,4.21
3,2023-08-08,03:30:00,105.51,25.39,25.81,860.34,11.25,25.22,15.56,1011.74,4.56
3,2023-08-08,03:35:00,103.53,25.26,26.11,865.02,11.18,25.21,15.28,1014.55,4.93
3,2023-08-08,03:40:00,102.63,25.26,26.6,882.45,10.88,25.16,15.15,1019.6,4.89
3,2023-08-08,03:45:00,100.54,24.79,27.35,891.38,10.74,25.14,14.9,1035.66,4.36
3,2023-08-08,03:50:00,98.2,24.4,27.95,902.26,10.54,25.1,16.05,1032.83,4.21
3,2023-08-08,03:55:00,96.58,24.48,28.97,902.29,10.68,25.1,16.19,1030.1,4.68
3,2023-08-08,04:00:00,95.83,25.22,30.09,899.31,11.14,25.07,17.06,1025.63,4.76
3,2023-08-08,04:05:00,92.3,26.09,30.91,896.95,11.6,25.07,17.65,1034.2,4.86
3,2023-08-08,04:10:00,88.88,26.86,31.06,891.11,11.8,25.04,18.05,1040.23,5.54
3,2023-08-08,04:15:00,88.52,26.9,31.14,879.47,11.86,24.95,18.51,1026.11,5.77
3,2023-08-08,04:20:00,87.51,26.59,32.26,865.45,12.04,24.94,19.67,1022.32,6.09
3,2023-08-08,04:25:00,86.44,25.88,32.76,853.02,12.45,24.85,19.9,1015.7,6.14
3,2023-08-08,04:30:00,85.37,25.12,33.38,846.82,11.96,24.88,19.9,999.44,5.65
3,2023-08-08,04:35:00,85.13,25.05,33.45,862.45,11.68,24.96,20.09,998.23,5.46
3,2023-08-08,04:40:00,83.97,24.85,34.2,872.87,11.32,25.05,21.11,992.92,4.88
3,2023-08-08,04:45:00,83.79,25.77,34.97,870.14,11.22,25.01,21.19,985.02,4.4
3,2023-08-08,04:50:00,82.53,25.83,35.28,854.87,11.39,24.99,20.67,978.17,4.21
3,2023-08-08,04:55:00,80.71,24.84,35.83,846.29,11.74,24.96,19.47,968.65,4.61
3,2023-08-08,05:00:00,83.72,24.4,36.8,848.58,12.25,24.86,19.37,961.56,4.88
3,2023-08-08,05:05:00,84.03,24.74,36.81,868.14,12.38,24.79,18.74,947.46,5.42
3,2023-08-08,05:10:00,85.5,25.14,36.53,874.5,12.41,24.89,18.66,934.62,5.72
3,2023-08-08,05:15:00,82.02,26.33,35.59,883.06,12.45,24.96,19.58,918.56,6.14
3,2023-08-08,05:20:00,82.01,25.17,35.04,891.17,12.38,24.98,20.47,902.77,5.75
3,2023-08-08,05:25:00,79.46,24.95,34.41,891.76,12.1,25.06,21.5,900.67,5.58
3,2023-08-08,05:30:00,78.11,24.67,33.85,908.92,12.09,25.1,22.33,896.76,5.06
3,2023-08-08,05:35:00,79.75,24.4,33.74,917.44,11.67,25.04,23.55,882.36,4.64
3,2023-08-08,05:40:00,82.75,25.53,32.89,905.89,11.36,25.09,23.82,888.11,4.37
3,2023-08-08,05:45:00,84.56,26.66,32.86,891.1,10.89,25.11,24.74,893.51,4.21
3,2023-08-08,05:50:00,81.35,26.9,31.78,896.38,10.78,25.16,24.28,886.52,4.86
3,2023-08-08,05:55:00,80.68,26.55,31.74,912.67,10.64,25.22,23.38,873.56,5.43
3,2023-08-08,06:00:00,80.39,25.6,31.51,919.53,10.42,25.24,24.76,852.71,5.85
3,2023-08-08,06:05:00,78.32,25.22,30.72,931.62,10.12,25.19,24.75,849.88,6.14
3,2023-08-08,06:10:00,75.57,26.03,30.2,949.74,10.64,25.19,24.47,843.01,5.85
3,2023-08-08,06:15:00,72.47,26.44,29.92,965.96,10.84,25.12,23.68,837.8,5.78
3,2023-08-08,06:20:00,71.52,26.9,29.36,980.92,11.13,25.07,22.61,834.32,5.59
3,2023-08-08,06:25:00,71.45,26.06,28.51,991.3,11.65,25.16,22.13,830.81,5.57
3,2023-08-08,06:30:00,69.69,25.33,27.47,998.82,11.68,25.25,22.42,820.53,5.08
