챔버번호,돼지분류,돼지번호,수집날짜,수집시간,분당호흡횟수,직장온도(℃),피부온도(등),피부온도(목),피부온도(머리),돼지 체중(kg),,,,,,,,,
4,weaningpig,15,2023-08-08,00:00:00,72,37.3,35.8,35.4,33.1,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,01:00:00,72,38.7,34.1,32.2,33.1,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,02:00:00,72,38.6,32.7,35.3,33.7,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,03:00:00,71,37.5,33.8,35.5,33.4,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,04:00:00,70,37.3,33.6,34.7,35,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,05:00:00,68,38.7,35,32.1,33.1,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,06:00:00,68,37.5,35.3,33,33.1,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,07:00:00,71,37.2,34.9,34.2,33.3,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,08:00:00,72,38,33.3,35.8,35,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,09:00:00,72,38.5,32.5,35.6,33.4,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,10:00:00,72,38.9,34.1,33.4,34.4,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,11:00:00,70,37.4,33.9,34.3,35.1,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,12:00:00,71,38,33.7,33.7,34.7,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,13:00:00,71,38.6,35.1,32.8,35.4,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,14:00:00,69,38.2,32.5,32.9,34.3,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,15:00:00,70,38.5,35.3,34.5,33.3,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,16:00:00,69,38.6,34.1,32.9,34.9,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,17:00:00,69,37.2,33.6,33,34.5,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,18:00:00,68,37.7,35.2,34.4,34.9,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,19:00:00,69,37.7,34.8,35.1,34.2,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,20:00:00,69,38.7,34.5,35.7,34.4,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,21:00:00,66,38.3,35.7,32.9,34.4,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,22:00:00,66,38.8,32.9,33.4,34.8,14.19,,,,,,,,,
4,weaningpig,15,2023-08-08,23:00:00,63,38.6,33.9,35.4,33.9,14.19,,,,,,,,,
